央视,#genre#
CCTV-1HD,http://play.kankanlive.com/live/1720408280309109.m3u8#rtmp://play.kankanlive.com/live/1720408280309109#http://gbds.chiznews.com:8037/live/wjsh.m3u8#http://gbds.chiznews.com:8037/live/wjsh.flv
CCTV-2HD,https://livealiop-finance.cctv.cn/hls/CCTV28bee868714f04ea2af79947bb9b46fc3H/playlist.m3u8
CCTV-5+HD,http://media.hndyjyfw.gov.cn/live/jz-cctv-5-plus/live.m3u8
重温经典,http://hebcx.chinashadt.com:2036/live/10002.stream/playlist.m3u8
CCTV-1综合,rtmp://play.kankanlive.com/live/1698234869325962#http://fjwysdb.chinashadt.com:2036/live/3.stream/playlist.m3u8#http://media.hndyjyfw.gov.cn/live/jz-cctv-1/live.m3u8#http://play.kankanlive.com/live/1698234869325962.m3u8#http://hebcx.chinashadt.com:2036/live/10003.stream/playlist.m3u8
CCTV-2财经,rtmp://play.kankanlive.com/live/1698234898628961#http://play.kankanlive.com/live/1698234898628961.m3u8
CCTV-3综艺,http://media.hndyjyfw.gov.cn/live/jz-cctv-3/live.m3u8
CCTV-4中文国际,rtmp://play.kankanlive.com/live/1698234936258960#http://play.kankanlive.com/live/1698234936258960.m3u8
CCTV-5体育,http://media.hndyjyfw.gov.cn/live/jz-cctv-5/live.m3u8#http://hebcx.chinashadt.com:2036/live/10007.stream/playlist.m3u8
CCTV-6电影,http://media.hndyjyfw.gov.cn/live/jz-cctv-6/live.m3u8
CCTV-7国防军事,http://media.hndyjyfw.gov.cn/live/jz-cctv-7/live.m3u8
CCTV-9纪录,rtmp://play.kankanlive.com/live/1698423397390920#http://media.hndyjyfw.gov.cn/live/jz-cctv-9/live.m3u8#http://play.kankanlive.com/live/1698423397390920.m3u8
CCTV-10科教,rtmp://play.kankanlive.com/live/1698423445959919#http://media.hndyjyfw.gov.cn/live/jz-cctv-10/live.m3u8#http://play.kankanlive.com/live/1698423445959919.m3u8
CCTV-11戏曲,rtmp://play.kankanlive.com/live/1698423476198918#http://media.hndyjyfw.gov.cn/live/jz-cctv-11/live.m3u8#http://play.kankanlive.com/live/1698423476198918.m3u8
CCTV-12社会与法,rtmp://play.kankanlive.com/live/1698423511884917#http://media.hndyjyfw.gov.cn/live/jz-cctv-12/live.m3u8#http://play.kankanlive.com/live/1698423511884917.m3u8
CCTV-13新闻,https://221.2.36.14/video/s10001-cctv/index.m3u8#https://60.211.179.171/video/s10001-cctv/index.m3u8#https://111.17.177.164/video/s10001-cctv/index.m3u8#rtmp://play.kankanlive.com/live/1698423543275916#https://tvfile.hscmw.cn/live/hsyouxian.m3u8#http://fjnhdb.chinashadt.com:2036/live/stream:fjds.stream/playlist.m3u8#https://lives.jnnews.tv/video/s10001-cctv/index.m3u8#http://media.hndyjyfw.gov.cn/live/jz-cctv-13/live.m3u8#http://play.kankanlive.com/live/1698423543275916.m3u8
CCTV-14少儿,rtmp://play.kankanlive.com/live/1698423575756915#http://media.hndyjyfw.gov.cn/live/jz-cctv-14/live.m3u8#http://play.kankanlive.com/live/1698423575756915.m3u8
CCTV-15音乐,rtmp://play.kankanlive.com/live/1698423607826914#http://play.kankanlive.com/live/1698423607826914.m3u8#http://hbhh.chinashadt.com:2111/live/hbhhys.stream/playlist.m3u8
CCTV-17农业农村,rtmp://play.kankanlive.com/live/1698423272597921#http://play.kankanlive.com/live/1698423272597921.m3u8
CGTN,https://english-livebkali.cgtn.com/live/encgtn_0.m3u8#https://english-liveali.cgtn.com/hls/yypdyyctzb/yypdyyctzbcd/playlist.m3u8#https://english-liveali.cgtn.com/hls/yypdyyctzb/yypdyyctzbhd/playlist.m3u8#https://english-liveali.cgtn.com/hls/yypdyyctzb/playlist.m3u8#https://english-livews.cgtn.com/hls/yypdyyctzbhd/playlist.m3u8#https://english-livews.cgtn.com/hls/yypdyyctzb/playlist.m3u8#https://english-livetx.cgtn.com/hls/yypdyyctzb_hd.m3u8#https://english-livetx.cgtn.com/hls/yypdyyctzb/playlist.m3u8#https://english-livebkali.cgtn.com/live/encgtn_1.m3u8#https://english-livebkali.cgtn.com/live/encgtn_2.m3u8#rtmp://play.kankanlive.com/live/1698423645566913#http://play.kankanlive.com/live/1698423645566913.m3u8
CGTN纪录,https://english-livebkali.cgtn.com/live/doccgtn_0.m3u8#https://english-liveali.cgtn.com/hls/yypdjlctzb/yypdjlctzbcd/playlist.m3u8#https://english-liveali.cgtn.com/hls/yypdjlctzb/yypdjlctzbhd/playlist.m3u8#https://english-liveali.cgtn.com/hls/yypdjlctzb/playlist.m3u8#https://english-livebkali.cgtn.com/live/doccgtn_1.m3u8#https://english-livebkali.cgtn.com/live/doccgtn_2.m3u8
中央新影-中学生,http://live-play.zxstv.com.cn/zhongxuesheng/zhongxuesheng.m3u8
中国教育1,https://hlscdn.liangtv.cn/live/49ca2ef8d65c43259c47156cfbede55e/0d5dff949c4648ddb5f2e2e9ebfd011b.m3u8#http://tv05.tsytv.com.cn/liveho/CETV-1.stream/playlist.m3u8
中国教育2,https://hlscdn.liangtv.cn/live/fe27f2056c0c41439a598b4fc6f1c580/705c05d0f8df4a42b6be8f0ae8a85d6a.m3u8
中国教育4,https://hlscdn.liangtv.cn/live/343e872aba6d4096a14f2c675e698528/a65bdcf36db94eda8cb5ce02e1395f2a.m3u8
卫视,#genre#
浙江卫视HD,https://play-qukan.cztv.com/live/1746687468244305.m3u8#https://ali-xwl.cztv.com/live/channel011080Plxw.m3u8
黑龙江卫视HD,https://idclive.hljtv.com:4430/live/hljws_own.m3u8
广西卫视HD,rtmp://live.gxrb.com.cn/tv/gxtvlive03#https://live.gxrb.com.cn/tv/gxtvlive03/index.m3u8&kdsplayer=media#http://222.216.111.82:8088/flv0
云南卫视HD,https://hwapi.yntv.net/62hdvf/nqyn7w.m3u8
吉林卫视HD,http://stream4.jlntv.cn/jlwshd/sd/live.m3u8
湖南卫视,http://media.hndyjyfw.gov.cn/live/jz-hunanweishi-gq/live.m3u8
江苏卫视,http://media.hndyjyfw.gov.cn/live/jz-jiangsuweishi-gq/live.m3u8#http://hebcx.chinashadt.com:2036/live/10006.stream/playlist.m3u8
浙江卫视,https://ali-xwl.cztv.com/live/channel01720Plxw.m3u8#http://media.hndyjyfw.gov.cn/live/jz-zhejiangweishi/live.m3u8
东方卫视,http://media.hndyjyfw.gov.cn/live/jz-shanghaiweishi-gq/live.m3u8
深圳卫视,http://media.hndyjyfw.gov.cn/live/jz-shenzhenweishi/live.m3u8
北京卫视,http://media.hndyjyfw.gov.cn/live/jz-beijingweishi/live.m3u8
山东卫视,http://221.2.36.14/video/s10001-SDTV/index.m3u8#http://60.211.179.171/video/s10001-SDTV/index.m3u8#http://111.17.177.164/video/s10001-SDTV/index.m3u8#http://lives.jnnews.tv/video/s10001-SDTV/index.m3u8
河北卫视,http://tvnew.lnshw.com.cn:58123/live/lntv2.m3u8#http://hbwq.chinashadt.com:2035/live/stream:hbws.stream/playlist.m3u8
贵州卫视,https://qnhi-hls.gzstv.com/livegztv-hi/CH01_hd.m3u8
安徽卫视,http://media.hndyjyfw.gov.cn/live/jz-anhuiweishi-gq/live.m3u8
云南卫视,https://zhzt.edehong.com:8001/srs1/live/2557455.flv
河南卫视,http://hnqf.chinashadt.com:2036/live/2.stream/playlist.m3u8#http://media.hndyjyfw.gov.cn/live/jz-hnweishi/live.m3u8
广西卫视,rtmp://live.gxrb.com.cn/hls/a23
内蒙古卫视,https://livestream-bt.nmtv.cn/nmtv/3208526general.m3u8?txSecret=eb5a3102dd5406c7ffeddf560b024952&txTime=76B2F9A0
宁夏卫视,https://hls.nxhhy.cn/live/nxws1M.m3u8
甘肃卫视,rtmp://liveout.gstv.com.cn/skt649/1ef20o#https://live.gstv.com.cn/live/oxfhvoy.m3u8#https://hls.gstv.com.cn/skt649/1ef20o.m3u8
重庆卫视,http://media.hndyjyfw.gov.cn/live/jz-chongqingweishi/live.m3u8
海南卫视,http://222.203.241.36:5001/nn_live.m3u8?id=sm_hnlyws
兵团卫视,https://liveout.btzx.com.cn/62ds9e/yil08g.m3u8
延边卫视,https://srs.iyb983.cn/video/CYS/index.m3u8
内蒙古蒙语,http://play1-qk.nmtv.cn/live/1769652018126032.m3u8
北京,#genre#
北京纪实科教,http://223.106.228.24/downflv.brtvcloud.com/8klive/8kliveok.m3u8
爱家购物,http://tvlive.siqiangame.com/ugotvlive/aijiatv.m3u8?auth_key=1860547259-0-0-77940e9d27746d1ae88f7d31e81191d0
环球旅游,http://v.voosite.com/AppName/StreamName.m3u8
中华特产,http://live.dxhmt.cn:9080/19903718786/854deb36f8db4c9098cad18cc35bd632.m3u8
房山无线频道,http://live.funhillrm.com/2/sd/live.m3u8
房山有线频道,http://live.funhillrm.com/5/sd/live.m3u8
延庆电视台,https://videoplaynew.yanqingrmzx.com/yq/ds.m3u8
石景山有线,http://live.sjsrm.com/bjsjs/sd/live.m3u8
顺义电视,https://livebjsy.chinamcache.com/live/zb02.m3u8#https://livebjsy.chinamcache.com/live/zb02.flv
中国国际教育1,http://play.cec-tv.com.cn/channel/cec-tv1.m3u8#rtmp://play.cec-tv.com.cn/channel/cec-tv1
中国国际教育2,rtmp://play.cec-tv.com.cn/channel/cec-tv2
中国国际教育3,http://play.cec-tv.com.cn/channel/cec-tv3.m3u8
中国国际教育4,rtmp://play.cec-tv.com.cn/channel/cec-tv4#http://play.cec-tv.com.cn/channel/cec-tv4.m3u8
中国国际少儿电视台,https://livesec.mudu.tv/watch/bk8coj.m3u8
党员教育频道,https://12371wbndali.v.myalicdn.com/12371wbnd/dangyuanwang_2hd.m3u8
上海,#genre#
上海教育,https://live2018.setv.sh.cn/setv/programme10_ud.m3u8?auth_key=4794048378-0-0-06e60dd476e18047abd3be7701993ee8
东方购物,http://ocj2.kksmg.com/ocj1/ocj1.m3u8#http://ocj2.kksmg.com/ocj2/ocj2.m3u8
嘉定电视台,http://5730.liveplay.myqcloud.com/live/jcmcTV.m3u8
金山电视台,https://pili-live-hls.wdit.com.cn/wditlive/8818dfe5f4df45ba9a3f32964d172fb2b6d3.m3u8
崇明电视台,http://p2hssh.vzan.com/slowlive/346065815676832757/live.m3u8
广东,#genre#
广东珠江,https://gx.484947.xyz/PLTV/77777777/224/3221225717/index.m3u8?servicetype=1&IASHttpSessionId=RR778520250111113355399717&ispcode=1108
广东经济科教,https://pili-live-hls.kingsmedia.cn/metoo-live/e06829f1a4374c4cb7f72cd99c7c636d.m3u8
GRTN健康频道,https://tplaylive.grtn.cn/live/health.m3u8
GRTN纪录片,https://tplaylive.grtn.cn/live/jilupian.m3u8
GRTN教育频道,https://tplaylive.grtn.cn/live/jiaoyu.m3u8
GRTN荔枝台,https://tplaylive.grtn.cn/live/lizhi.m3u8
GRTN生活频道,https://tplaylive.grtn.cn/live/life.m3u8
GRTN文化频道,https://tplaylive.grtn.cn/live/wenhua_test0203.m3u8
深圳都市,http://livepull-dyxc.sztv.com.cn/live/szdushi_live.m3u8?txSecret=491dcb72366fa4cebe8141cffa123275&txTime=6B43225C
珠海新闻,https://publive.zhrct.com/zhtv1/zhtv1.m3u8?auth_key=1697183630-0-0-237458bc86c8bc697f92b9525a090953
惠州综合,http://b.ds2.hztvmg.com/AppName/StreamName.m3u8
东莞综合,https://stream.sun0769.com/dgrtv1/mp4tv1_1500/index.m3u8
东莞生活资讯,https://stream.sun0769.com/dgrtv1/mp4tv2_1500/index.m3u8
河源综合,http://tmpstream.hyrtv.cn/xwzh/sd/live.m3u8
河源公共,http://tmpstream.hyrtv.cn/hygg/sd/live.m3u8
清远新闻综合,https://vlivestream.qyrb.cn/qyLiveSlow/74.m3u8
韶关综合,https://www.sgmsw.cn/videos/tv/201805/1308/SB05RIYZOU8JR418AUQOF62CAJQ08D0E/hls/live.m3u8#https://live.sgmsw.cn/hls/lhx1FUeZg/playlist.m3u8
潮州综合,http://livezhpd.czbtv.com:38880/live/ctvzhpd.m3u8?secret=czbtv20250301
潮州民生,http://livezhpd.czbtv.com:38880/live/ggpd.m3u8?secret=czbtv20250301
肇庆综合,http://zqvlivestream.xjrb.com/zqtlive_slow/eed84230447e4eed917191d72b5d8b73_779.m3u8
肇庆生活服务,http://zqvlivestream.xjrb.com/zqtlive_slow/eed84230447e4eed917191d72b5d8b73_786.m3u8
湛江综合,https://tvlive.zjwtv.com/live/sobeystream_1782377327.m3u8
揭阳综合,http://hls-jyrtv.jyrtv.tv/stjy2020/zhpd.m3u8
揭阳生活,http://hls-jyrtv.jyrtv.tv/stjy2020/ggpd.m3u8
汕尾综合,https://iswtv.swrtv.com/live/xwzhpd.m3u8
云浮综合,https://livestream.oeeee.com/slive/28283.m3u8
云浮文旅,https://livestream.oeeee.com/slive/28284.m3u8
